id,name,latitude,longitude
3988,Ministro Pistarini International Airport,-34.8222,-58.5358
4061,El Calafate Airport,-50.2803,-72.053101
4092,Maestro Wilson Fonseca Airport,-2.424721956253052,-54.785831451416016
4209,Porto Seguro Airport,-16.438601,-39.080898
4213,Iguatu Airport,-6.346640110015869,-39.29380035400391
4214,Brigadeiro Lysias Rodrigues Airport,-10.2915000916,-48.35699844359999
4215,Nelson Ribeiro Guimarães Airport,-17.725299835205,-48.607498168945
4247,El Trompillo Airport,-17.8115997314,-63.1715011597
4304,Cheddi Jagan International Airport,6.498549938201904,-58.25410079956055
4305,Guarani International Airport,-25.454516,-54.842682
4306,Eugene F. Correira International Airport,6.80628,-58.1059
4307,Kaieteur International Airport,5.17275476456,-59.491481781
4312,Chamonate Airport,-27.2968997955,-70.4131011963
6027,General Enrique Mosconi Airport,-22.619600296,-63.7937011719
6028,Las Heras Airport,-46.53829956049999,-68.9653015137
6029,Antoine de Saint Exupéry Airport,-40.7512,-65.0343
6030,Lago Argentino Airport,-50.336102,-72.248596
6031,Gobernador Gregores Airport,-48.7831,-70.150002
6032,Santa Teresita Airport,-36.5423,-56.7218
6033,Necochea Airport,-38.4831,-58.8172
6034,Orlando Bezerra de Menezes Airport,-7.21895980835,-39.2700996399
6036,Coronel Horácio de Mattos Airport,-12.4822998047,-41.2770004272
6037,Macaé Airport,-22.343000412,-41.7659988403
6038,Frank Miloye Milenkowichi–Marília State Airport,-22.1968994141,-49.926399231
6039,Vitória da Conquista Airport,-14.8627996445,-40.8630981445
6040,Santa Maria Airport,-29.711399,-53.688202
6041,Toledo Airport,-24.6863,-53.697498
6042,Ricardo García Posada Airport,-26.31110000610352,-69.76519775390625
6043,Pucón Airport,-39.29280090332031,-71.91590118408203
